frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
22,0,0.778,0.98,1,0.326937,0.127159,-0.936452,-0.256462,0.133797,-0.957249,0.037,0.137,-22.6,34.3,275.1,-0.202,-0.002,-0.008,0,0,2.7,0,1.64,0.85,2.32,1.67,0,0.28,0,0,0,0,3.07,0,0.93,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
23,0,0.815,0.98,1,0.29799,0.112268,-0.947944,-0.271546,0.15752,-0.949447,0.014,0.141,-22.7,33.8,274.8,-0.207,-0.003,-0.017,0,0,2.62,0,1.66,0.82,2.31,1.72,0,0.2,0,0,0,0,3.05,0,0.7,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
24,0,0.852,0.98,1,0.3393,0.152005,-0.928315,-0.246657,0.171521,-0.953803,0.049,0.17,-25.2,33.2,272.8,-0.189,0,-0.027,0,0,2.58,0,1.62,0.73,2.27,1.68,0,0.13,0,0,0,0.05,3.07,0,0.44,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
25,0,0.889,0.98,1,0.357284,0.168982,-0.918582,-0.239794,0.208305,-0.948213,0.063,0.199,-26.9,33.1,272.5,-0.183,-0.004,-0.034,0,0,2.6,0,1.71,0.95,2.22,1.81,0,0.05,0,0,0,0.07,3.09,0,0.52,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
26,0,0.926,0.98,1,0.365377,0.168803,-0.915426,-0.228712,0.20765,-0.95109,0.073,0.199,-27.3,33,272,-0.174,-0.004,-0.036,0,0,2.63,0,1.74,1.07,2.26,1.78,0,0.02,0,0,0.03,0.13,3.12,0,0.47,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
27,0,0.963,0.98,1,0.356434,0.153404,-0.921641,-0.108054,0.042074,-0.993254,0.129,0.102,-28.4,32.7,271.2,-0.16,-0.008,-0.043,0,0,2.59,0,1.88,1.52,2.39,1.8,0,0.06,0,0,0.03,0.13,2.96,0,0.46,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
28,0,1,0.98,1,0.286399,0.001908,-0.958109,-0.07708,0.018978,-0.996844,0.107,0.011,-30.9,31.4,266.8,-0.111,-0.006,-0.039,0,0,2.41,0,1.95,1.86,2.27,1.79,0,0.18,0,0,0.03,0.28,2.66,0,0.27,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
29,0,1.037,0.98,1,0.280882,0.060288,-0.957847,-0.047315,-0.075452,-0.996026,0.119,-0.008,-31.4,28.4,260.4,-0.097,-0.007,-0.04,0,0,2.23,0,1.93,1.85,1.85,1.81,0,0.2,0,0,0,0.42,2.32,0,0.14,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
30,0,1.074,0.98,1,0.1122,0.062323,-0.991729,-0.036878,0.035081,-0.998704,0.038,0.049,-30.8,26,251.7,-0.068,-0.011,-0.035,0,0,1.94,0,1.84,1.56,1.22,1.8,0.07,0.22,0,0,0,0.37,2.2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
31,0,1.111,0.98,1,0.081687,0.095208,-0.9921,0.000208,0.074565,-0.997216,0.041,0.085,-30.3,24.7,247.7,-0.065,-0.006,-0.038,0,0,1.69,0,1.77,1.25,0.8,1.73,0.2,0.14,0,0,0,0.19,2.21,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
